"x"	"name"	"area"
"http://rdf.freebase.com/ns/en.botswana"	"Botswana"	600370
"http://rdf.freebase.com/ns/en.andaman_sea"	"Andaman Sea"	600000
"http://rdf.freebase.com/ns/en.pikesville_library"	"Pikesville Library"	596959
"http://rdf.freebase.com/ns/en.arkhangelsk_oblast"	"Arkhangelsk Oblast"	587400
"http://rdf.freebase.com/ns/en.madagascar"	"Madagascar"	587041
"http://rdf.freebase.com/ns/en.minas_gerais"	"Minas Gerais"	586528.29
"http://rdf.freebase.com/ns/en.kenya"	"Kenya"	580367
"http://rdf.freebase.com/ns/en.southern_region_brazil"	"South Region, Brazil"	576409.6
"http://rdf.freebase.com/ns/en.bahia"	"Bahia"	567295
"http://rdf.freebase.com/ns/m.04xwk9"	"Al-Ahsa Governorate"	534000
"http://rdf.freebase.com/ns/en.zagros_mountains"	"Zagros Mountains"	533512
"http://rdf.freebase.com/ns/en.yemen"	"Yemen"	527968
"http://rdf.freebase.com/ns/en.campo_belo"	"Campo Belo"	526753
"http://rdf.freebase.com/ns/en.northwestern_ontario"	"Northwestern Ontario"	526371.87
"http://rdf.freebase.com/ns/en.bakken_formation"	"Bakken formation"	520000
"http://rdf.freebase.com/ns/en.thailand"	"Thailand"	513120
"http://rdf.freebase.com/ns/en.baffin_island"	"Baffin Island"	507451
"http://rdf.freebase.com/ns/en.spain"	"Spain"	505992
"http://rdf.freebase.com/ns/en.pilbara_region_of_western_australia"	"Pilbara"	502000
"http://rdf.freebase.com/ns/en.darfur"	"Darfur"	493180
"http://rdf.freebase.com/ns/en.transitional_darfur_regional_authority"	"Darfur Regional Authority"	493180
"http://rdf.freebase.com/ns/en.turkmenistan"	"Turkmenistan"	488100
"http://rdf.freebase.com/ns/en.sichuan"	"Sichuan"	485000
"http://rdf.freebase.com/ns/en.al_kufrah"	"Kufra District"	483510
"http://rdf.freebase.com/ns/en.caucasus_mountains"	"Caucasus Mountains"	477488
"http://rdf.freebase.com/ns/en.beaufort_sea"	"Beaufort Sea"	476000
"http://rdf.freebase.com/ns/en.cameroon"	"Cameroon"	475442
"http://rdf.freebase.com/ns/en.sumatra"	"Sumatra"	473481
"http://rdf.freebase.com/ns/en.weimar_republic"	"Weimar Republic"	468787
"http://rdf.freebase.com/ns/en.papua_new_guinea"	"Papua New Guinea"	462840
"http://rdf.freebase.com/ns/en.assis"	"Assis"	462705
"http://rdf.freebase.com/ns/en.ross_dependency"	"Ross Dependency"	450000
"http://rdf.freebase.com/ns/en.swedem"	"Sweden"	449964
"http://rdf.freebase.com/ns/en.uzbekistan_russia"	"Uzbekistan"	447400
"http://rdf.freebase.com/ns/en.morocco"	"Morocco"	446550
"http://rdf.freebase.com/ns/en.nunavik"	"Nunavik"	443684.71
"http://rdf.freebase.com/ns/en.french_southern_territories"	"French Southern and Antarctic Lands"	439781
"http://rdf.freebase.com/ns/en.iraq"	"Iraq"	438317
"http://rdf.freebase.com/ns/en.red_sea"	"Red Sea"	438000
"http://rdf.freebase.com/ns/en.black_sea"	"Black Sea"	436402
"http://rdf.freebase.com/ns/en.adelie_land"	"Adélie Land"	432000
